,movement,name,birth,death,country,art_type
46,The Pre-Raphaelite Brotherhood,Kate Elizabeth Bunce,1856,1927,English,Painter
47,The Pre-Raphaelite Brotherhood,Arthur Hacker,1858,1919,English,Painter
48,The Pre-Raphaelite Brotherhood,Henry Maynell Rheam,1859,1920,British,Painter
49,The Pre-Raphaelite Brotherhood,Sidney Meteyard,1868,1947,English,Painter
50,The Pre-Raphaelite Brotherhood,Eleanor Fortescue-Brickdale,1871,1945,English,Painter
51,The Pre-Raphaelite Brotherhood,John Byam Shaw,1872,1919,Indian/British,Painter
52,The Pre-Raphaelite Brotherhood,Frank Cowper,1877,1958,English,Painter
0,Victorian Classicism,Lord Frederic Leighton,1830,1896,English,Painter/Sculptor
1,Victorian Classicism,Sir Lawrence Alma-Tadema,1836,1912,Dutch/English,Painter
2,Victorian Classicism,Sir Edward Poynter,1836,1919,English,Painter
3,Victorian Classicism,Albert Joseph Moore,1841,1893,English,Painter
4,Victorian Classicism,John Collier,1850,1934,English,Painter
5,Victorian Classicism,Thomas Ralph Spence,1855,1918,British,Painter
6,Victorian Classicism,Solomon Joseph Solomon,1860,1927,British,Painter
7,Victorian Classicism,John William Godward,1861,1922,English,Painter
8,Victorian Classicism,Sir William Reynolds-Stephens,1862,1943,British,Sculptor
9,Victorian Classicism,Herbert Draper,1863,1920,English,Painter
10,Victorian Classicism,Aby Altson,1864,1949,Australian,Painter
11,Victorian Classicism,Arthur Wardle,1864,1949,British,Painter
0,Symbolism,George Frederic Watts,1817,1904,English,Painter/Sculptor
1,Symbolism,Pierre Puvis de Chavannes,1824,1898,French,Painter
2,Symbolism,Gustave Moreau,1826,1898,French,Painter
3,Symbolism,Arnold Bocklin,1827,1901,Swiss,Painter
4,Symbolism,Felicien Rops,1833,1898,Belgian,Engraver
5,Symbolism,Elihu Vedder,1836,1923,American,Painter
6,Symbolism,Hans Thoma,1839,1924,German,Painter
7,Symbolism,Odilon Redon,1840,1916,French,Painter
8,Symbolism,Xavier Mellery,1845,1921,Belgian,Painter
9,Symbolism,Eugene Carriere,1849,1906,French,Painter
0,Realism,Peter von Cornelius,1783,1867,German,Painter
1,Realism,Jean-Baptiste-Camille Corot,1796,1875,French,Painter
2,Realism,Constantin Guys,1802,1892,French,Illustrator
3,Realism,Paul Gavarni,1804,1866,French,Engraver
4,Realism,Josef Danhauser,1805,1845,Austrian,Painter
5,Realism,William Dyce,1806,1864,Scottish,Painter
6,Realism,William Sidney Mount,1807,1868,American,Painter
7,Realism,Honore Daumier,1808,1879,French,Illustrator
8,Realism,Christen Kobke,1810,1848,Danish,Painter
9,Realism,George Caleb Bingham,1811,1879,American,Painter
10,Realism,Jean-Francois Millet,1814,1875,French,Painter
11,Realism,Adolf von Menzel,1815,1905,German,Painter
12,Realism,Francois Bonvin,1817,1887,French,Painter
13,Realism,Gustave Courbet,1819,1877,French,Painter
14,Realism,Rosa Bonheur,1822,1899,French,Painter
15,Realism,Augustin Theodule Ribot,1823,1891,French,Painter
16,Realism,Auguste Bonheur,1824,1884,French,Painter
17,Realism,Gustave Brion,1824,1877,French,Painter
18,Realism,Emmanuel Fremiet,1824,1910,French,Sculptor
19,Realism,Jozef Israels,1824,1911,Dutch,Painter
20,Realism,Giovanni Fattori,1825,1908,Italian,Painter
21,Realism,Silvestro Lega,1826,1895,Italian,Painter
22,Realism,Paul Seignac,1826,1904,French,Painter
23,Realism,Jules Breton,1827,1906,French,Painter
24,Realism,Jean-Baptiste Carpeaux,1827,1875,French,Sculptor/Painter
25,Realism,Jervis McEntee,1828,1891,American,Painter
26,Realism,John Quincy Adams Ward,1830,1910,American,Sculptor
27,Realism,John George Brown,1831,1913,British/American,Painter
28,Realism,Edouard Manet,1832,1883,French,Painter
29,Realism,Antoine Vollon,1833,1900,French,Painter
30,Realism,Edgar Degas,1834,1917,French,Painter/Sculptor
31,Realism,Henri Fantin-Latour,1836,1904,French,Painter
32,Realism,Eduardo Rosales,1836,1873,Spanish,Painter
33,Realism,Jules Dalou,1838,1902,French,Sculptor
34,Realism,Kitty Kielland,1843,1914,Norwegian,Painter
35,Realism,Thomas Eakins,1844,1916,American,Painter
36,Realism,Leon Augustin L'hermitte,1844,1925,French,Painter
37,Realism,Wilhelm Leibl,1844,1900,German,Painter
38,Realism,Mihaly Munkacsy,1844,1900,Hungarian,Painter
39,Realism,Ilya Repin,1844,1930,Ukrainian/Russian,Painter
40,Realism,Jules Bastien-Lepage,1848,1884,French,Painter
41,Realism,Frank Duveneck,1848,1919,American,Painter
42,Realism,Francisco Pradilla Ortiz,1848,1921,Spanish,Painter
43,Realism,Augustus Saint-Gaudens,1848,1907,Irish/American,Sculptor
44,Realism,Frants Henningsen,1850,1908,Danish,Painter
45,Realism,Thomas Anshutz,1851,1912,American,Painter
46,Realism,Julien Dupre,1851,1910,French,Painter
47,Realism,Viggo Johansen,1851,1935,Danish,Painter
48,Realism,Carl Locher,1851,1915,Danish,Painter
49,Realism,Wilhelm Trubner,1851,1917,German,Painter
50,Realism,Sir George Clausen,1852,1944,English,Painter
51,Realism,Pascal-Adolphe-Jean Dagnan-Bouveret,1852,1929,French,Painter
52,Realism,Jean-Louis Forain,1852,1931,French,Painter/Illustrator
53,Realism,Christian Krohg,1852,1925,Norwegian,Painter
54,Realism,Carl Larsson,1853,1919,Swedish,Painter
55,Realism,George Carline,1855,1920,English,Painter
56,Realism,Gilbert Gaul,1855,1919,American,Painter
57,Realism,Erik Werenskiold,1855,1936,Norwegian,Painter
58,Realism,Stanhope Alexander Forbes,1857,1947,Irish,Painter
59,Realism,Henry H. La Thangue,1859,1929,British,Painter
60,Realism,Henry Ossawa Tanner,1859,1937,African-American,Painter
61,Realism,Anders Zorn,1860,1920,Swedish,Painter
62,Realism,Charles Cottet,1863,1925,French,Painter
63,Realism,Emile Friant,1863,1932,French,Painter
64,Realism,Joaquin Sorolla y Bastida,1863,1923,Spanish,Painter
65,Realism,Harald Sohlberg,1869,1935,Norwegian,Painter
66,Realism,Russell Drysdale,1912,1981,British/Australian,Painter
0,The Barbizon School,Camille Flers,1802,1868,French,Painter
1,The Barbizon School,Narcisse-Virgile Diaz de la Pena,1807,1876,French,Painter
2,The Barbizon School,Constant Troyon,1810,1865,French,Painter
3,The Barbizon School,Jules Dupre,1811,1889,French,Painter
4,The Barbizon School,Theodore Rousseau,1812,1867,French,Painter
5,The Barbizon School,Charles Emile Jacque,1813,1894,French,Painter
6,The Barbizon School,Leon-Victor Dupre,1816,1879,French,Painter
7,The Barbizon School,Charles-Francois Daubigny,1817,1878,French,Painter
8,The Barbizon School,Antonio Fontanesi,1818,1882,Italian,Painter
9,The Barbizon School,William Morris Hunt,1824,1879,American,Painter
10,The Barbizon School,Jules Jacques Veyrassat,1828,1893,French,Painter
11,The Barbizon School,Paul Desire Trouillebert,1829,1900,French,Painter
12,The Barbizon School,Homer Dodge Martin,1836,1897,American,Painter
13,The Barbizon School,Alexis Jean Fournier,1865,1948,American,Painter
0,Tonalism,George Fuller,1822,1884,American,Painter
1,Tonalism,William Morris Hunt,1824,1879,American,Painter
2,Tonalism,George Inness,1825,1894,American,Painter
3,Tonalism,James McNeill Whistler,1834,1903,American,Painter/Printmaker
4,Tonalism,John La Farge,1835,1910,American,Painter
5,Tonalism,Homer Dodge Martin,1836,1897,American,Painter
6,Tonalism,Alexander Helwig Wyant,1836,1892,American,Painter
7,Tonalism,Maria A'Becket,1840,1904,American,Painter
8,Tonalism,Robert Swain Gifford,1840,1905,American,Painter
9,Tonalism,John J. Enneking,1841,1916,American,Painter
10,Tonalism,Ralph Albert Blakelock,1847,1919,American,Painter
11,Tonalism,Albert Pinkham Ryder,1847,1917,American,Painter
12,Tonalism,Charles Melville Dewey,1849,1937,American,Painter
13,Tonalism,Dwight W. Tryon,1849,1925,American,Painter
14,Tonalism,Charles Harry Eaton,1850,1901,American,Painter
15,Tonalism,Thomas Wilmer Dewing,1851,1938,American,Painter
16,Tonalism,Ben Foster,1852,1926,American,Painter
17,Tonalism,Gertrude Kasebier,1852,1934,American,Photographer
18,Tonalism,Julian Alden Weir,1852,1919,American,Painter
19,Tonalism,T. Alexander Harrison,1853,1930,American,Painter
20,Tonalism,John Francis Murphy,1853,1921,American,Painter
21,Tonalism,John Henry Twachtman,1853,1902,American,Painter
22,Tonalism,Lowell Birge Harrison,1854,1929,American,Painter
23,Tonalism,Leonard Ochtman,1854,1934,Dutch/American,Painter
24,Tonalism,Charles Harold Davis,1856,1933,American,Painter
25,Tonalism,Franklin de Haven,1856,1934,American,Painter
26,Tonalism,Charles Appel,1857,1928,American,Painter
27,Tonalism,Bruce Crane,1857,1937,American,Painter
28,Tonalism,Charles Warren Eaton,1857,1937,American,Painter
29,Tonalism,Henry Ward Ranger,1858,1916,American,Painter
30,Tonalism,Elliott Daingerfield,1859,1932,American,Painter
31,Tonalism,William Langson Lathrop,1859,1938,American,Painter
32,Tonalism,Charles Paul Gruppe,1860,1940,Canadian/American,Painter
33,Tonalism,Arthur Frank Mathews,1860,1945,American,Painter
34,Tonalism,Karl Emil Termohlen,1863,1938,Danish/American,Painter
35,Tonalism,Alfred Stieglitz,1864,1946,American,Photographer
36,Tonalism,Leon Dabo,1865,1960,French/American,Painter
37,Tonalism,Louis Paul Dessar,1867,1952,American,Painter
38,Tonalism,Chauncey F. Ryder,1868,1949,American,Painter
39,Tonalism,Henry Percy Gray,1869,1952,American,Painter
40,Tonalism,Xavier Martinez,1869,1943,Mexican/American,Painter
41,Tonalism,Granville Redmond,1871,1935,American,Painter
42,Tonalism,Clarence H. White,1871,1925,American,Photographer
43,Tonalism,Aaron Harry Gorson,1872,1933,American,Painter
44,Tonalism,Max Meldrum,1875,1955,Scottish/Australian,Painter
45,Tonalism,Edward J. Steichen,1879,1973,Luxembourgeois/American,Photographer/Painter
46,Tonalism,Alvin Langdon Coburn,1882,1966,American/British,Photographer
47,Tonalism,Imogen Cunningham,1883,1976,American,Photographer
48,Tonalism,Laura Gilpin,1891,1979,American,Photographer
0,Post-Impressionism,Paul Cezanne,1839,1906,French,Painter
1,Post-Impressionism,Henri Rousseau,1844,1910,French,Painter
2,Post-Impressionism,Paul Gauguin,1848,1903,French,Painter
3,Post-Impressionism,Claude-Emile Schuffenecker,1851,1934,French,Painter
4,Post-Impressionism,Vincent van Gogh,1853,1890,Dutch,Painter
5,Post-Impressionism,Henri Martin,1860,1943,French,Painter
6,Post-Impressionism,Roderic O'Conor,1860,1940,Irish,Painter
7,Post-Impressionism,Charles Filiger,1863,1928,French,Painter/Printmaker
8,Post-Impressionism,Henri de Toulouse-Lautrec,1864,1901,French,Painter/Printmaker
9,Post-Impressionism,Suzanne Valadon,1865,1938,French,Painter
10,Post-Impressionism,Roger Fry,1866,1934,English,Painter/Writer
11,Post-Impressionism,Jan Verkade,1868,1946,Dutch,Painter
12,Post-Impressionism,Edouard Vuillard,1868,1940,French,Painter
0,Les Nabis,Aristide Maillol,1861,1944,French,Sculptor
1,Les Nabis,Paul Ranson,1864,1909,French,Painter
2,Les Nabis,Felix Vallotton,1865,1925,Swiss/French,Painter
3,Les Nabis,Pierre Bonnard,1867,1947,French,Painter
4,Les Nabis,Ker Xavier Roussel,1867,1944,French,Painter
5,Les Nabis,Georges Lacombe,1868,1916,French,Painter/Sculptor
6,Les Nabis,Edouard Vuillard,1868,1940,French,Painter
7,Les Nabis,Maurice Denis,1870,1943,French,Painter
0,Pointillism,Camille Pissarro,1830,1903,Caribbean/French,Painter
1,Pointillism,Gaetano Previati,1852,1920,Italian,Painter
2,Pointillism,Angelo Morbelli,1853,1919,Italian,Painter
3,Pointillism,Charles Angrand,1854,1926,French,Painter
4,Pointillism,Hippolyte Petitjean,1854,1929,French,Painter
5,Pointillism,Henri-Edmond Cross,1856,1910,French,Painter
6,Pointillism,Maximilien Luce,1858,1941,French,Painter
7,Pointillism,Giovanni Segantini,1858,1899,Italian,Painter
8,Pointillism,Georges Seurat,1859,1891,French,Painter
9,Pointillism,Theo van Rysselberghe,1862,1926,Belgian,Painter
10,Pointillism,Paul Signac,1863,1935,French,Painter
11,Pointillism,Georges Lemmen,1865,1916,Belgian,Painter
12,Pointillism,Giuseppe Pellizza da Volpedo,1868,1907,Italian,Painter
13,Pointillism,Lucie Cousturier,1870,1925,French,Painter/Writer
0,Fauvism,Henri Matisse,1869,1954,French,Painter/Sculptor
1,Fauvism,Louis Valtat,1869,1952,French,Painter
2,Fauvism,Georges Rouault,1871,1958,French,Painter
3,Fauvism,Henri Manguin,1874,1949,French,Painter
4,Fauvism,Albert Marquet,1875,1947,French,Painter
5,Fauvism,Jean Puy,1876,1960,French,Painter
6,Fauvism,Maurice de Vlaminck,1876,1958,French,Painter
7,Fauvism,Kees van Dongen,1877,1968,Dutch,Painter
8,Fauvism,Raoul Dufy,1877,1953,French,Painter
9,Fauvism,Charles Camoin,1879,1965,French,Painter
10,Fauvism,Othon Friesz,1879,1949,French,Painter
11,Fauvism,Andre Derain,1880,1954,French,Painter/Sculptor
12,Fauvism,Georges Braque,1882,1963,French,Painter
13,Fauvism,Ben Benn,1884,1983,Russian/American,Painter
14,Fauvism,Roger de la Fresnaye,1885,1925,French,Painter
15,Fauvism,Marguerite Thompson Zorach,1887,1968,American,Painter
0,Art Nouveau,Felix Bracquemond,1833,1914,French,Engraver
1,Art Nouveau,Eugene Grasset,1845,1917,Swiss/French,Designer
2,Art Nouveau,Emile Galle,1846,1904,French,Glassmaker
3,Art Nouveau,Louis Comfort Tiffany,1848,1933,American,Stained Glass Artist
4,Art Nouveau,Antoni Gaudi,1852,1926,Spanish,Architect
5,Art Nouveau,Ferdinand Hodler,1853,1918,Swiss,Painter
6,Art Nouveau,Adolphe-Leon Willette,1857,1926,French,Illustrator
7,Art Nouveau,Theophile Alexandre Steinlen,1859,1923,Swiss/French,Painter/Printmaker
8,Art Nouveau,Edmond-Francois Aman-Jean,1860,1935,French,Painter
9,Art Nouveau,Alphonse Mucha,1860,1939,Czech,Printmaker
10,Art Nouveau,Victor Horta,1861,1947,Belgian,Architect/Designer
11,Art Nouveau,Aristide Maillol,1861,1944,French,Sculptor
12,Art Nouveau,Gustav Klimt,1862,1918,Austrian,Painter
13,Art Nouveau,Henry van de Velde,1863,1957,Belgian,Designer
14,Art Nouveau,Lucien Levy-Dhurmer,1865,1953,French,Painter
15,Art Nouveau,Georges Lemmen,1865,1916,Belgian,Painter
16,Art Nouveau,Hector Guimard,1867,1942,French,Architect/Designer
17,Art Nouveau,Georges de Feure,1868,1943,Dutch,Painter/Printmaker
18,Art Nouveau,Charles Rennie Mackintosh,1868,1928,Scottish,Designer
19,Art Nouveau,Johan Thorn Prikker,1868,1932,Dutch,Illustrator
20,Art Nouveau,Aubrey Beardsley,1872,1898,English,Illustrator
0,The Golden Age of Illustration,Sir John Tenniel,1820,1914,English,Illustrator
1,The Golden Age of Illustration,Walter Crane,1845,1915,English,Illustrator
2,The Golden Age of Illustration,Kate Greenaway,1846,1901,English,Illustrator
3,The Golden Age of Illustration,Edwin Austin Abbey,1852,1911,American,Illustrator/Muralist
4,The Golden Age of Illustration,Howard Pyle,1853,1911,American,Illustrator
5,The Golden Age of Illustration,Louis John Rhead,1858,1926,English/American,Illustrator
6,The Golden Age of Illustration,Jessie Willcox Smith,1863,1935,American,Illustrator
7,The Golden Age of Illustration,Edward Penfield,1866,1925,American,Illustrator
8,The Golden Age of Illustration,Beatrix Potter,1866,1943,English,Illustrator
9,The Golden Age of Illustration,Charles Dana Gibson,1867,1944,American,Illustrator
10,The Golden Age of Illustration,Arthur Rackham,1867,1939,English,Illustrator
11,The Golden Age of Illustration,Maxfield Parrish,1870,1966,American,Illustrator
0,Art Deco,Rene Lalique,1860,1945,French,Glassmaker
1,Art Deco,Leon Bakst,1866,1924,Russian,Designer/Illustrator
2,Art Deco,Pierre-Felix Fix-Masseau,1869,1937,French,Sculptor/Printmaker
3,Art Deco,Josef Hoffmann,1870,1956,Austrian,Architect/Designer
4,Art Deco,Jean Dunand,1877,1942,Swiss,Designer
5,Art Deco,Lee Lawrie,1877,1963,German/American,Sculptor
6,Art Deco,Eileen Gray,1879,1976,Irish,Designer
7,Art Deco,Emile-Jacques Ruhlmann,1879,1933,French,Designer
8,Art Deco,Raymond Hood,1881,1934,American,Architect
9,Art Deco,Jean Dupas,1882,1964,French,Designer
10,Art Deco,William Van Alen,1883,1954,American,Architect
11,Art Deco,Walter Dorwin Teague,1883,1960,American,Designer
12,Art Deco,Paul Manship,1886,1966,American,Sculptor
13,Art Deco,Winold Reiss,1886,1953,German/American,Painter
14,Art Deco,Louis Icart,1888,1950,French,Painter/Illustrator
15,Art Deco,C. Paul Jennewein,1890,1978,German/American,Sculptor
16,Art Deco,Erte,1892,1990,Russian/French,Painter/Designer
17,Art Deco,Norman Bel Geddes,1893,1958,American,Designer
18,Art Deco,Meredith Frampton,1894,1984,British,Painter
19,Art Deco,Tamara de Lempicka,1898,1980,Polish/American,Painter
20,Art Deco,Cassandre,1901,1968,Ukrainian/French,Printmaker
21,Art Deco,Viktor Schreckengost,1906,2008,American,Designer
0,Ashcan School,Robert Henri,1865,1929,American,Painter
1,Ashcan School,George Luks,1866,1933,American,Painter
2,Ashcan School,William Glackens,1870,1938,American,Painter
3,Ashcan School,John Sloan,1871,1951,American,Painter
4,Ashcan School,Everett Shinn,1876,1953,American,Painter
5,Ashcan School,George Wesley Bellows,1882,1925,American,Painter
0,Camden Town Group,Walter Richard Sickert,1860,1942,British,Painter
1,Camden Town Group,Lucien Pissarro,1863,1944,French,Painter
2,Camden Town Group,Robert Bevan,1865,1925,English,Painter
3,Camden Town Group,Harold Gilman,1876,1919,British,Painter
4,Camden Town Group,Charles Isaac Ginner,1878,1952,French,Painter
5,Camden Town Group,Spencer Gore,1878,1914,English,Painter
6,Camden Town Group,Augustus John,1878,1961,British,Painter
7,Camden Town Group,James Bolivar Manson,1879,1945,British,Painter
8,Camden Town Group,Wyndham Lewis,1882,1957,Canadian/British,Writer/Painter
9,Camden Town Group,Henry Lamb,1883,1960,English,Painter
10,Camden Town Group,Duncan Grant,1885,1978,Scottish,Painter
0,American Regionalism,Thomas Hart Benton,1889,1975,American,Painter
1,American Regionalism,Marvin Cone,1891,1965,American,Painter
2,American Regionalism,Grant Wood,1891,1942,American,Painter
3,American Regionalism,Molly Luce,1896,1986,American,Painter
4,American Regionalism,Paul Starrett Sample,1896,1974,American,Painter
5,American Regionalism,John Steuart Curry,1897,1946,American,Painter
6,American Regionalism,Alexandre Hogue,1898,1994,American,Painter
7,American Regionalism,Hale Woodruff,1900,1980,African-American,Painter
8,American Regionalism,Russell Limbach,1904,1971,American,Printmaker
9,American Regionalism,Dale Nichols,1904,1995,American,Painter
10,American Regionalism,Clyde Singer,1908,1999,American,Painter
11,American Regionalism,Aaron Pyle,1909,1972,American,Painter
12,American Regionalism,John Rogers Cox,1915,1990,American,Painter
13,American Regionalism,Roger Medearis,1920,2001,American,Painter
0,Social Realism,Frederick Walker,1840,1875,English,Painter
1,Social Realism,Frank Holl,1845,1888,British,Painter
2,Social Realism,Sir Hubert von Herkomer,1849,1914,German/British,Painter
3,Social Realism,Eugene Higgins,1874,1958,American,Painter/Printmaker
0,The Canadian Group Of Seven,J.E.H. MacDonald,1873,1932,English/Canadian,Painter
1,The Canadian Group Of Seven,F.H. Varley,1881,1969,Canadian,Painter
2,The Canadian Group Of Seven,A.Y. Jackson,1882,1974,Canadian,Painter
3,The Canadian Group Of Seven,Lawren S. Harris,1885,1970,Canadian,Painter
4,The Canadian Group Of Seven,Arthur Lismer,1885,1969,English/Canadian,Painter
5,The Canadian Group Of Seven,Frank Johnston,1888,1949,Canadian,Painter
6,The Canadian Group Of Seven,Franklin Carmichael,1890,1945,Canadian,Painter
7,The Canadian Group Of Seven,Lionel Fitzgerald,1890,1956,Canadian,Painter
8,The Canadian Group Of Seven,Edwin Holgate,1892,1977,Canadian,Painter
9,The Canadian Group Of Seven,A.J. Casson,1898,1992,Canadian,Painter
0,Magic Realism,Ivan Albright,1897,1983,American,Painter
1,Magic Realism,Carel Willink,1900,1983,Dutch,Painter
2,Magic Realism,Philip Evergood,1901,1973,American,Painter
3,Magic Realism,Paul Cadmus,1904,1999,American,Painter
4,Magic Realism,Jared French,1905,1988,American,Painter
5,Magic Realism,Peter Blume,1906,1992,Russian/American,Painter
6,Magic Realism,O. Louis Guglielmi,1906,1956,Egyptian/American,Painter
7,Magic Realism,Charles Rain,1911,1985,American,Painter
8,Magic Realism,Alex Colville,1920,2013,Canadian,Painter
9,Magic Realism,George Tooker,1920,2011,American,Painter
10,Magic Realism,Gregory Gillespie,1936,2000,American,Painter
0,Contemporary Realism,Peter Hurd,1904,1984,American,Painter
1,Contemporary Realism,Henriette Wyeth,1907,1997,American,Painter
2,Contemporary Realism,John Koch,1909,1978,American,Painter
3,Contemporary Realism,Sylvia Sleigh,1916,2010,British/American,Painter
4,Contemporary Realism,Andrew Wyeth,1917,2009,American,Painter
5,Contemporary Realism,Roger Medearis,1920,2001,American,Painter
6,Contemporary Realism,Jane Freilicher,1924,2014,American,Painter
0,Expressionism,James Ensor,1860,1949,Belgian,Painter
1,Expressionism,Emile Antoine Bourdelle,1861,1929,French,Sculptor
2,Expressionism,Edvard Munch,1863,1944,Norwegian,Painter
3,Expressionism,Franz von Stuck,1863,1928,German,Painter/Sculptor
4,Expressionism,Alexei Jawlensky,1864,1941,Russian/German,Painter
5,Expressionism,Wassily Kandinsky,1866,1944,Russian/French,Painter
6,Expressionism,Kathe Kollwitz,1867,1945,German,Printmaker/Sculptor
7,Expressionism,Emil Nolde,1867,1956,German,Painter
8,Expressionism,Ernst Barlach,1870,1938,German,Sculptor
9,Expressionism,Emily Carr,1871,1945,Canadian,Painter
10,Expressionism,Lyonel Feininger,1871,1956,American/German,Painter
11,Expressionism,Georges Rouault,1871,1958,French,Painter
12,Expressionism,Alfred Kubin,1877,1959,Czech,Illustrator
13,Expressionism,Gabriele Munter,1877,1962,German,Painter
14,Expressionism,Paul Klee,1879,1940,Swiss,Painter
15,Expressionism,Jacob Epstein,1880,1959,American/British,Sculptor
16,Expressionism,Ernst Ludwig Kirchner,1880,1938,German,Painter/Sculptor
17,Expressionism,Franz Marc,1880,1916,German,Painter
18,Expressionism,Max Pechstein,1881,1955,German,Painter
19,Expressionism,Max Weber,1881,1961,German/American,Painter
20,Expressionism,Richard Gerstl,1883,1908,Austrian,Painter
21,Expressionism,Erich Heckel,1883,1970,German,Painter
22,Expressionism,Ivan Mestrovic,1883,1962,Croatian/American,Sculptor
23,Expressionism,Max Beckmann,1884,1950,German,Painter
24,Expressionism,Ludwig Meidner,1884,1966,German,Painter
25,Expressionism,Amedeo Modigliani,1884,1920,Italian,Painter/Sculptor
26,Expressionism,Karl Schmidt-Rottluff,1884,1976,German,Painter
27,Expressionism,Jules Pascin,1885,1930,Bulgarian/French,Painter
28,Expressionism,Oskar Kokoschka,1886,1980,Austrian,Painter
29,Expressionism,Jose Gutierrez Solana,1886,1945,Spanish,Painter
30,Expressionism,August Macke,1887,1914,German,Painter
31,Expressionism,Heinrich Campendonk,1889,1957,German,Painter
32,Expressionism,Georg Schrimpf,1889,1938,German,Painter
33,Expressionism,Egon Schiele,1890,1918,Austrian,Painter
34,Expressionism,Otto Dix,1891,1969,German,Painter
35,Expressionism,George Grosz,1893,1959,German,Painter
36,Expressionism,Chaim Soutine,1893,1943,Lithuanian/French,Painter
37,Expressionism,Gert Wollheim,1894,1974,German/American,Painter
0,Cubism,Lyonel Feininger,1871,1956,American/German,Painter
1,Cubism,Jacques Villon,1875,1963,French,Painter
2,Cubism,Raymond Duchamp-Villon,1876,1918,French,Sculptor
3,Cubism,Kasimir Malevich,1878,1935,Ukrainian,Painter
4,Cubism,Maria Blanchard,1881,1932,Spanish,Painter
5,Cubism,Patrick Henry Bruce,1881,1936,American,Painter
6,Cubism,Albert Gleizes,1881,1953,French,Painter
7,Cubism,Natalia Goncharova,1881,1962,Russian,Painter
8,Cubism,Fernand Leger,1881,1955,French,Painter
9,Cubism,Mikhail Larionov,1881,1964,Russian,Painter
10,Cubism,Henri Le Fauconnier,1881,1946,French,Painter
11,Cubism,Pablo Picasso,1881,1973,Spanish,Painter/Sculptor
12,Cubism,Georges Braque,1882,1963,French,Painter
13,Cubism,Louis Marcoussis,1883,1941,Polish/French,Painter
14,Cubism,Jean Metzinger,1883,1956,French,Painter
15,Cubism,Gino Severini,1883,1966,Italian,Painter
16,Cubism,Robert Delaunay,1885,1941,French,Painter
17,Cubism,Roger de la Fresnaye,1885,1925,French,Painter
18,Cubism,Henri Laurens,1885,1954,French,Sculptor
19,Cubism,Andre Lhote,1885,1962,French,Painter/Sculptor
20,Cubism,Alexander Archipenko,1887,1964,Ukrainian,Sculptor
21,Cubism,Juan Gris,1887,1927,Spanish,Painter/Sculptor
22,Cubism,Henri Gaudier-Brzeska,1891,1915,French,Sculptor
23,Cubism,Jacques Lipchitz,1891,1973,Lithuanian/French,Sculptor
0,Dada,Francis Picabia,1879,1953,French,Painter
1,Dada,Jean Arp,1886,1966,German/French,Painter/Sculptor
0,Neo-Plasticism,Piet Mondrian,1872,1944,Dutch,Painter
1,Neo-Plasticism,Theo van Doesburg,1883,1931,Dutch,Painter
2,Neo-Plasticism,Vilmos Huszar,1884,1960,Hungarian/Dutch,Painter
3,Neo-Plasticism,Jean Gorin,1899,1981,French,Painter/Sculptor
4,Neo-Plasticism,Charmion von Wiegand,1900,1983,American,Painter
5,Neo-Plasticism,Ilya Bolotowsky,1907,1981,Russian/American,Painter
0,Surrealism,Francis Picabia,1879,1953,French,Painter
1,Surrealism,Jean Arp,1886,1966,German/French,Painter/Sculptor
2,Surrealism,Marcel Duchamp,1887,1968,French/American,Conceptual Artist
3,Surrealism,Giorgio de Chirico,1888,1978,Greek/Italian,Painter/Sculptor
4,Surrealism,Paul Nash,1889,1946,English,Painter
5,Surrealism,Man Ray,1890,1976,American,Photographer/Painter
6,Surrealism,Max Ernst,1891,1976,German/French,Painter
7,Surrealism,Alberto Savinio,1891,1952,Greek/Italian,Painter
8,Surrealism,Joan Miro,1893,1983,Spanish,Painter/Sculptor
9,Surrealism,Claude Cahun,1894,1954,French,Photographer
10,Surrealism,Andre Breton,1896,1966,French,Writer/Artist
11,Surrealism,Andre Masson,1896,1987,French,Painter
12,Surrealism,Paul Delvaux,1897,1994,Belgian,Painter
13,Surrealism,Rene Magritte,1898,1967,Belgian,Painter
14,Surrealism,Kay Sage,1898,1963,American,Painter
15,Surrealism,Pavel Tchelitchew,1898,1957,Russian,Painter
16,Surrealism,Eileen Agar,1899,1991,British,Painter
17,Surrealism,Yves Tanguy,1900,1955,French/American,Painter
18,Surrealism,Alberto Giacometti,1901,1966,Swiss,Painter/Sculptor
19,Surrealism,Stanley William Hayter,1901,1988,British,Painter
0,Precisionism,Charles Demuth,1883,1935,American,Painter
1,Precisionism,Charles Sheeler,1883,1965,American,Painter/Photographer
2,Precisionism,Preston Dickinson,1891,1930,American,Painter
3,Precisionism,Elsie Driggs,1898,1992,American,Painter
4,Precisionism,Francis Criss,1901,1973,British/American,Painter
5,Precisionism,Ralston Crawford,1906,1978,Canadian/American,Painter
6,Precisionism,Edmund Lewandowski,1914,1998,American,Painter
0,The Harlem Renaissance,Meta Warrick Fuller,1877,1968,African-American,Sculptor
1,The Harlem Renaissance,James Van Der Zee,1886,1983,African-American,Photographer
2,The Harlem Renaissance,Sargent Claude Johnson,1887,1967,African-American,Sculptor
3,The Harlem Renaissance,Palmer Hayden,1890,1973,African-American,Painter
4,The Harlem Renaissance,Archibald Motley,1891,1981,African-American,Painter
5,The Harlem Renaissance,Augusta Savage,1892,1962,African-American,Sculptor
